Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 3, 2017",Love & Hip Hop: Atlanta,2012,6,16,The End Is Near,{}
"June 26, 2017",Shadowhunters,2016,2,14,The Fair Folk,"{""hulu""=>[""1104360""], ""amazon""=>[""B073B7MGLN"", ""B073B44T72""]}"
"July 10, 2017",So You Think You Can Dance,2005,14,4,New York Auditions No. 2,{}
"June 27, 2017",The Bachelorette,2003,13,6,Episode 6,"{""hulu""=>[""1105271"", ""1105401"", ""1105380"", ""1105374"", ""1105371"", ""1105370""], ""amazon""=>[""B073FVFL4D"", ""B073FTJYHX""]}"
"July 3, 2017",American Ninja Warrior,2010,9,4,Kansas City Qualifiers,"{""itunes""=>[""1254963094""], ""amazon""=>[""B073P933TK"", ""B073P97ZH6""]}"
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"January 10, 2017",Kate Plus 8,2010,5,8,Game Night,"{""amazon""=>[""B01N0ZNBN6""]}"
"June 26, 2017",Stitchers,2015,3,4,Mind Palace,"{""hulu""=>[""1104353""], ""amazon""=>[""B073B7JMP7"", ""B073B5SW3V""]}"
"November 21, 2016",The Real Housewives of Orange County,2006,11,21,Reunion Part 3,{}
"June 19, 2017",Whose Line Is It Anyway?,1998,13,4,Malcolm Goodwin,{}
"June 26, 2017",Pawn Stars,2009,14,17,Frontier Fortune,"{""amazon""=>[""B073BS6993"", ""B073BSC8W4""]}"
"July 3, 2017",Preacher,2016,2,3,Damsels,"{""amazon""=>[""B073JYPTST"", ""B073JZ2M49""]}"
"June 26, 2017",Pawn Stars,2009,14,17,Frontier Fortune,"{""amazon""=>[""B073BS6993"", ""B073BSC8W4""]}"
"June 22, 2017",Conan,2010,7,77,"Will Ferrell, Ha Ha Tonka",{}
"June 22, 2017",The Daily Show,1996,23,94,Jerrod Carmichael,"{""itunes""=>[""1251818834""]}"
"June 30, 2017",The Late Show With Stephen Colbert,2015,3,107,"""Stephen's take on the news of the day""",{}
Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
"July 10, 2017",Love & Hip Hop: Atlanta,2012,6,17,The Reunion: Part 1,{}
"July 10, 2017",Shadowhunters,2016,2,15,A Problem of Memory,{}
"July 10, 2017",So You Think You Can Dance,2005,14,4,New York Auditions No. 2,{}
"July 10, 2017",The Bachelorette,2003,13,7,Episode 7,{}
"July 10, 2017",American Ninja Warrior,2010,9,5,Cleveland Qualifiers,{}
"July 14, 2017",Degrassi: Next Class,2017,4,10,#KThxBye,"{""netflixusa""=>[""80113752""]}"
"July 10, 2017",Kate Plus 8,2010,6,1,A Haunting at the Gosselins,{}
"July 10, 2017",Stitchers,2015,3,5,Paternis,{}
"July 10, 2017",The Real Housewives of Orange County,2006,12,1,The Great Divide,{}
"July 10, 2017",Whose Line Is It Anyway?,1998,13,5,Wil Wheaton,{}
"July 10, 2017",Will,2017,1,2,Cowards Die Many Times,{}
"July 10, 2017",Pawn Stars,2009,14,19,Masonic Pawn,{}
"July 10, 2017",Preacher,2016,2,4,Viktor,{}
"July 10, 2017",Will,2017,1,2,Cowards Die Many Times,{}
"July 10, 2017",Pawn Stars,2009,14,19,Masonic Pawn,{}
"July 10, 2017",Conan,2010,7,78,"Snoop Dogg, Flula Borg, Mastodon",{}
"July 10, 2017",The Daily Show,1996,23,95,Kumail Nanjiani,{}
"July 10, 2017",The Late Show With Stephen Colbert,2015,3,108,"Woody Harrelson, Cobie Smulders, Emmylou Harris and her Red Dirt Boys",{}
Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
Scraped Date,Series Name,Release_Year,Season Number,Episode Number,Episode Title,Hash
